Id,LotArea,Street,Alley,Utilities,Neighborhood,BldgType,HouseStyle,YearBuilt,RoofStyle,Foundation,Electrical,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,SaleCondition,SalePrice
49,4456,Pave,,AllPub,OldTown,2fmCon,2Story,1920,Gable,BrkTil,SBrkr,1452,2,2,3,0,0,Partial,113000
50,7742,Pave,,AllPub,Sawyer,1Fam,1Story,1966,Gable,CBlock,SBrkr,955,1,3,1,0,1,Normal,127000
51,13869,Pave,,AllPub,Gilbert,1Fam,2Story,1997,Gable,PConc,SBrkr,1470,2,3,1,0,2,Normal,177000
52,6240,Pave,,AllPub,BrkSide,1Fam,1.5Fin,1934,Gable,PConc,SBrkr,1176,1,3,1,1,2,Normal,114500
53,8472,Grvl,,AllPub,IDOTRR,Duplex,1Story,1963,Gable,CBlock,SBrkr,816,1,2,1,0,2,Normal,110000
54,50271,Pave,,AllPub,Veenker,1Fam,1Story,1981,Gable,CBlock,SBrkr,1842,0,0,1,1,3,Normal,385000
55,7134,Pave,,AllPub,NAmes,1Fam,SLvl,1955,Gable,CBlock,SBrkr,1360,1,3,1,1,2,Normal,130000
56,10175,Pave,,AllPub,NAmes,1Fam,1Story,1964,Gable,CBlock,SBrkr,1425,2,3,1,1,2,Normal,180500
57,2645,Pave,Pave,AllPub,Somerst,Twnhs,2Story,1999,Gable,PConc,SBrkr,1739,2,3,1,0,2,Abnorml,172500
58,11645,Pave,,AllPub,CollgCr,1Fam,2Story,2004,Gable,PConc,SBrkr,1720,2,3,1,0,2,Normal,196500
59,13682,Pave,,AllPub,StoneBr,1Fam,2Story,2006,Hip,PConc,SBrkr,2945,3,3,1,1,3,Partial,438780
60,7200,Pave,,AllPub,CollgCr,1Fam,1Story,1972,Gable,CBlock,SBrkr,780,1,2,1,0,1,Normal,124900
61,13072,Pave,,AllPub,SawyerW,1Fam,1Story,2004,Gable,PConc,SBrkr,1158,1,3,1,0,2,Partial,158000
62,7200,Pave,,AllPub,IDOTRR,1Fam,2.5Unf,1920,Gable,BrkTil,SBrkr,1111,1,3,1,0,1,Normal,101000
63,6442,Pave,,AllPub,NridgHt,TwnhsE,1Story,2006,Gable,PConc,SBrkr,1370,2,2,1,1,2,Normal,202500
64,10300,Pave,,AllPub,OldTown,1Fam,2Story,1921,Gable,BrkTil,SBrkr,1710,2,3,1,0,2,Normal,140000
65,9375,Pave,,AllPub,CollgCr,1Fam,2Story,1997,Gable,PConc,SBrkr,2034,2,3,1,0,2,Normal,219500
66,9591,Pave,,AllPub,NridgHt,1Fam,2Story,2004,Gable,PConc,SBrkr,2473,2,4,1,1,3,Normal,317000
67,19900,Pave,,AllPub,NAmes,1Fam,1Story,1970,Gable,CBlock,SBrkr,2207,2,3,1,1,2,Normal,180000
68,10665,Pave,,AllPub,CollgCr,1Fam,1Story,2003,Gable,PConc,SBrkr,1479,2,3,1,0,2,Normal,226000
69,4608,Pave,,AllPub,OldTown,1Fam,1Story,1945,Gable,CBlock,SBrkr,747,1,2,1,0,1,Normal,80000
70,15593,Pave,,AllPub,ClearCr,1Fam,1.5Fin,1953,Gable,CBlock,SBrkr,2287,2,3,1,1,2,Normal,225000
71,13651,Pave,,AllPub,NAmes,1Fam,1Story,1973,Gable,CBlock,SBrkr,2223,2,3,1,2,2,Normal,244000
72,7599,Pave,,AllPub,Mitchel,1Fam,1Story,1982,Gable,CBlock,SBrkr,845,1,2,1,0,2,Normal,129500
73,10141,Pave,,AllPub,Gilbert,1Fam,2Story,1998,Gable,PConc,SBrkr,1718,2,3,1,1,2,Normal,185000
74,10200,Pave,,AllPub,NAmes,1Fam,1Story,1954,Gable,CBlock,SBrkr,1086,1,3,1,0,2,Normal,144900
75,5790,Pave,,AllPub,OldTown,1Fam,2Story,1915,Gambrel,CBlock,SBrkr,1605,2,3,2,0,1,Normal,107400
76,1596,Pave,,AllPub,MeadowV,Twnhs,SLvl,1973,Gable,CBlock,SBrkr,988,1,2,1,0,1,Normal,91000
77,8475,Pave,,AllPub,NAmes,1Fam,1Story,1956,Gable,CBlock,FuseA,952,1,2,1,0,1,Normal,135750
78,8635,Pave,,AllPub,BrkSide,1Fam,1.5Fin,1948,Gable,CBlock,SBrkr,1285,1,2,1,0,1,Normal,127000
79,10778,Pave,,AllPub,Sawyer,Duplex,1Story,1968,Hip,CBlock,SBrkr,1768,2,4,2,0,0,Normal,136500
80,10440,Pave,Grvl,AllPub,OldTown,1Fam,2Story,1910,Gable,PConc,SBrkr,1230,1,2,1,0,2,Normal,110000
81,13000,Pave,,AllPub,NAmes,1Fam,2Story,1968,Gable,CBlock,SBrkr,2142,2,4,1,1,1,Normal,193500
82,4500,Pave,,AllPub,Mitchel,TwnhsE,1Story,1998,Hip,PConc,SBrkr,1337,2,2,1,0,2,Normal,153500
83,10206,Pave,,AllPub,Somerst,1Fam,1Story,2007,Gable,PConc,SBrkr,1563,2,3,1,1,3,Normal,245000
84,8892,Pave,,AllPub,NAmes,1Fam,1Story,1960,Gable,CBlock,SBrkr,1065,1,3,1,0,2,Normal,126500
85,8530,Pave,,AllPub,Gilbert,1Fam,SLvl,1995,Gable,PConc,SBrkr,1474,2,3,1,1,2,Normal,168500
86,16059,Pave,,AllPub,NoRidge,1Fam,2Story,1991,Hip,CBlock,SBrkr,2417,2,4,1,1,2,Normal,260000
87,11911,Pave,,AllPub,Gilbert,1Fam,2Story,2005,Gable,PConc,SBrkr,1560,2,3,1,1,2,Normal,174000
88,3951,Pave,Pave,AllPub,Somerst,TwnhsE,2Story,2009,Gable,PConc,SBrkr,1224,2,2,1,0,2,Partial,164500
89,8470,Pave,,AllPub,IDOTRR,1Fam,1.5Fin,1915,Hip,CBlock,SBrkr,1526,1,2,1,0,0,Abnorml,85000
90,8070,Pave,,AllPub,CollgCr,1Fam,1Story,1994,Gable,PConc,SBrkr,990,1,3,1,0,0,Normal,123600
91,7200,Pave,,AllPub,NAmes,1Fam,1Story,1950,Gable,Slab,FuseA,1040,1,2,1,0,2,Normal,109900
92,8500,Pave,,AllPub,NAmes,1Fam,1Story,1961,Hip,CBlock,SBrkr,1235,1,2,1,0,2,Abnorml,98600
93,13360,Pave,Grvl,AllPub,Crawfor,1Fam,1Story,1921,Gable,BrkTil,SBrkr,964,1,2,1,0,2,Normal,163500
94,7200,Pave,,AllPub,OldTown,2fmCon,2.5Unf,1910,Hip,BrkTil,SBrkr,2291,2,4,2,1,2,Normal,133900
95,9337,Pave,,AllPub,CollgCr,1Fam,2Story,1997,Gable,PConc,SBrkr,1786,2,3,1,0,2,Normal,204750
96,9765,Pave,,AllPub,Gilbert,1Fam,2Story,1993,Gable,PConc,SBrkr,1470,2,3,1,1,2,Normal,185000
97,10264,Pave,,AllPub,CollgCr,1Fam,1Story,1999,Gable,PConc,SBrkr,1588,2,3,1,0,2,Normal,214000
98,10921,Pave,,AllPub,Edwards,1Fam,1Story,1965,Hip,CBlock,FuseF,960,1,3,1,0,1,Normal,94750
99,10625,Pave,,AllPub,Edwards,1Fam,1Story,1920,Gable,BrkTil,SBrkr,835,1,2,1,0,1,Abnorml,83000
100,9320,Pave,,AllPub,NAmes,1Fam,1Story,1959,Gable,CBlock,SBrkr,1225,1,3,1,0,0,Normal,128950
101,10603,Pave,,AllPub,NWAmes,1Fam,1Story,1977,Gable,PConc,SBrkr,1610,2,3,1,2,2,Normal,205000
102,9206,Pave,,AllPub,SawyerW,1Fam,2Story,1985,Gable,CBlock,SBrkr,1732,2,3,1,1,2,Normal,178000
103,7018,Pave,,AllPub,SawyerW,Duplex,1Story,1979,Gable,Slab,SBrkr,1535,2,4,2,0,2,Alloca,118964
104,10402,Pave,,AllPub,CollgCr,1Fam,1Story,2009,Gable,PConc,SBrkr,1226,2,3,1,0,3,Normal,198900
105,7758,Pave,,AllPub,IDOTRR,1Fam,1.5Fin,1931,Gable,PConc,FuseF,1818,1,4,1,2,1,Normal,169500
106,9375,Pave,,AllPub,Somerst,1Fam,2Story,2003,Hip,PConc,SBrkr,1992,2,3,1,1,2,Normal,250000
107,10800,Pave,Grvl,AllPub,OldTown,1Fam,1Story,1885,Mansard,BrkTil,SBrkr,1047,1,2,1,0,1,Normal,100000
108,6000,Pave,,AllPub,OldTown,1Fam,1Story,1948,Gable,CBlock,SBrkr,789,1,2,1,0,1,Partial,115000
109,8500,Pave,,AllPub,IDOTRR,1Fam,1.5Fin,1919,Gable,CBlock,FuseF,1517,2,3,1,0,0,Normal,115000
110,11751,Pave,,AllPub,NWAmes,1Fam,1Story,1977,Hip,CBlock,SBrkr,1844,2,3,1,1,2,Normal,190000
111,9525,Pave,,AllPub,Edwards,1Fam,1.5Fin,1954,Gable,CBlock,SBrkr,1855,2,4,1,0,1,Normal,136900
112,7750,Pave,,AllPub,Gilbert,1Fam,SLvl,2000,Gable,PConc,SBrkr,1430,2,3,1,1,2,Normal,180000
113,9965,Pave,,AllPub,CollgCr,1Fam,2Story,2007,Gable,PConc,SBrkr,2696,2,4,1,1,3,Partial,383970
114,21000,Pave,,AllPub,Crawfor,1Fam,1Story,1953,Hip,CBlock,SBrkr,2259,2,3,1,2,2,Abnorml,217000
115,7259,Pave,,AllPub,Crawfor,1Fam,2Story,1945,Gambrel,CBlock,SBrkr,2320,2,3,1,1,1,Normal,259500
116,3230,Pave,Pave,AllPub,Somerst,TwnhsE,2Story,1999,Gable,PConc,SBrkr,1458,2,2,1,1,2,Normal,176000
117,11616,Pave,,AllPub,Sawyer,1Fam,1Story,1962,Gable,CBlock,SBrkr,1092,1,3,1,1,1,Normal,139000
118,8536,Pave,,AllPub,Edwards,1Fam,1Story,2006,Gable,PConc,SBrkr,1125,1,2,1,0,2,Partial,155000
119,12376,Pave,,AllPub,SawyerW,1Fam,2Story,1990,Hip,PConc,SBrkr,3222,3,5,1,2,3,Normal,320000
120,8461,Pave,,AllPub,CollgCr,1Fam,2Story,2005,Gable,PConc,SBrkr,1456,2,3,1,1,2,Partial,163990
121,21453,Pave,,AllPub,ClearCr,1Fam,SLvl,1969,Flat,CBlock,SBrkr,988,1,1,1,2,2,Normal,180000
122,6060,Pave,,AllPub,IDOTRR,1Fam,1.5Fin,1939,Gable,PConc,SBrkr,1123,1,3,1,0,1,Normal,100000
123,9464,Pave,,AllPub,NAmes,1Fam,1Story,1958,Hip,CBlock,SBrkr,1080,1,3,1,0,1,Normal,136000
124,7892,Pave,,AllPub,SawyerW,TwnhsE,1Story,1993,Gable,PConc,SBrkr,1199,2,2,1,0,2,Normal,153900
125,17043,Pave,,AllPub,NWAmes,1Fam,1Story,1979,Gable,CBlock,SBrkr,1586,2,3,1,1,2,Normal,181000
126,6780,Pave,,AllPub,IDOTRR,2fmCon,1.5Fin,1935,Gable,CBlock,SBrkr,754,1,2,1,0,0,Normal,84500
127,4928,Pave,,AllPub,NPkVill,TwnhsE,1Story,1976,Gable,CBlock,SBrkr,958,2,2,1,1,2,Normal,128000
128,4388,Pave,,AllPub,OldTown,1Fam,1.5Unf,1930,Gable,BrkTil,SBrkr,840,1,3,1,1,0,Normal,87000
129,7590,Pave,,AllPub,NAmes,1Fam,2Story,1966,Gable,CBlock,SBrkr,1348,1,3,1,1,2,Normal,155000
130,8973,Pave,,AllPub,NAmes,1Fam,1Story,1958,Gable,CBlock,FuseA,1053,1,3,1,0,2,Abnorml,150000
131,14200,Pave,,AllPub,NAmes,1Fam,2Story,1966,Gable,CBlock,SBrkr,2157,2,4,1,2,2,Normal,226000
132,12224,Pave,,AllPub,Gilbert,1Fam,2Story,2000,Gable,PConc,SBrkr,2054,2,3,1,1,2,Normal,244000
133,7388,Pave,,AllPub,NAmes,1Fam,1Story,1959,Gable,CBlock,SBrkr,1327,1,3,1,0,2,Normal,150750
134,6853,Pave,,AllPub,Timber,1Fam,1Story,2001,Gable,PConc,SBrkr,1296,2,2,1,0,2,Normal,220000
135,10335,Pave,,AllPub,Sawyer,1Fam,1Story,1968,Gable,CBlock,SBrkr,1721,2,3,1,1,2,Normal,180000
136,10400,Pave,,AllPub,NWAmes,1Fam,1Story,1970,Hip,PConc,SBrkr,1682,2,3,1,1,2,Normal,174000
137,10355,Pave,,AllPub,NAmes,1Fam,1Story,1967,Gable,CBlock,SBrkr,1214,2,3,1,1,1,Normal,143000
138,11070,Pave,,AllPub,Mitchel,Duplex,1Story,1988,Gable,CBlock,SBrkr,1959,3,5,2,0,3,Family,171000
139,9066,Pave,,AllPub,CollgCr,1Fam,2Story,1999,Gable,PConc,SBrkr,1852,2,3,1,2,3,Normal,230000
140,15426,Pave,,AllPub,CollgCr,1Fam,2Story,1997,Gable,PConc,SBrkr,1764,2,3,1,0,2,Normal,231500
141,10500,Pave,,AllPub,NAmes,1Fam,1Story,1971,Gable,CBlock,SBrkr,864,1,3,1,1,0,Normal,115000
142,11645,Pave,,AllPub,CollgCr,1Fam,1Story,2005,Gable,PConc,SBrkr,1734,2,3,1,0,2,Normal,260000
143,8520,Pave,,AllPub,NAmes,1Fam,1.5Fin,1952,Gable,CBlock,SBrkr,1385,2,4,1,0,2,Normal,166000
144,10335,Pave,,AllPub,CollgCr,1Fam,1Story,1999,Gable,PConc,SBrkr,1501,2,3,1,0,2,Normal,204000
145,9100,Pave,,AllPub,Sawyer,Duplex,1Story,1963,Gable,CBlock,SBrkr,1728,2,6,2,0,2,Abnorml,125000
146,2522,Pave,,AllPub,Edwards,Twnhs,2Story,2004,Gable,PConc,SBrkr,1709,2,3,1,0,2,Normal,130000
147,6120,Pave,,AllPub,BrkSide,1Fam,1Story,1931,Gable,BrkTil,FuseA,875,1,2,1,0,1,Normal,105000
148,9505,Pave,,AllPub,Gilbert,1Fam,2Story,2001,Gable,PConc,SBrkr,2035,2,3,1,1,2,Normal,222500
149,7500,Pave,,AllPub,SawyerW,1Fam,1Story,2004,Gable,PConc,SBrkr,1080,1,3,1,0,0,Normal,141000
150,6240,Pave,,AllPub,BrkSide,1Fam,1.5Fin,1936,Gable,BrkTil,FuseA,1344,1,3,1,0,1,Normal,115000
151,10356,Pave,,AllPub,CollgCr,1Fam,1Story,1975,Gable,CBlock,SBrkr,969,1,3,1,0,2,Normal,122000
152,13891,Pave,,AllPub,NridgHt,1Fam,1Story,2007,Hip,PConc,SBrkr,1710,2,2,1,1,3,Partial,372402
153,14803,Pave,,AllPub,NWAmes,1Fam,2Story,1971,Gable,CBlock,SBrkr,1993,2,4,1,1,2,Normal,190000
154,13500,Pave,,AllPub,ClearCr,1Fam,1Story,1960,Flat,CBlock,SBrkr,1252,1,1,1,1,2,Normal,235000
155,11340,Pave,,AllPub,OldTown,1Fam,1Story,1923,Gable,BrkTil,FuseA,1200,1,4,1,0,1,Family,125000
156,9600,Pave,,AllPub,Edwards,1Fam,1.5Fin,1924,Gable,BrkTil,FuseF,1096,1,2,1,0,0,Normal,79000
157,7200,Pave,,AllPub,NAmes,1Fam,1Story,1950,Hip,CBlock,FuseF,1040,1,2,1,0,2,Normal,109500
158,12003,Pave,,AllPub,Timber,1Fam,2Story,2009,Gable,PConc,SBrkr,1968,2,4,1,1,3,Partial,269500
159,12552,Pave,,AllPub,Somerst,1Fam,2Story,2004,Gable,PConc,SBrkr,1947,2,3,1,1,2,Normal,254900
160,19378,Pave,,AllPub,Gilbert,1Fam,2Story,2005,Gable,PConc,SBrkr,2462,2,4,1,1,2,Partial,320000
161,11120,Pave,,AllPub,Veenker,1Fam,1Story,1984,Gable,PConc,SBrkr,1232,2,3,1,0,2,Normal,162500
162,13688,Pave,,AllPub,NridgHt,1Fam,2Story,2003,Gable,PConc,SBrkr,2668,2,3,1,2,3,Normal,412500
163,12182,Pave,,AllPub,NridgHt,1Fam,1Story,2005,Gable,PConc,SBrkr,1541,2,3,1,1,2,Partial,220000
164,5500,Pave,,AllPub,OldTown,1Fam,1.5Unf,1956,Gable,CBlock,SBrkr,882,1,1,1,0,0,Normal,103200
165,5400,Pave,Pave,AllPub,OldTown,1Fam,1Story,1926,Gable,BrkTil,FuseA,1616,2,3,1,0,1,Normal,152000
166,10106,Pave,,AllPub,Edwards,2fmCon,1.5Fin,1940,Gable,BrkTil,SBrkr,1355,2,4,2,0,0,Normal,127500
167,10708,Pave,,AllPub,ClearCr,1Fam,1Story,1955,Hip,CBlock,FuseA,1867,1,2,1,3,1,Normal,190000
168,10562,Pave,,AllPub,NridgHt,1Fam,2Story,2007,Gable,PConc,SBrkr,2161,1,3,1,1,3,Partial,325624
169,8244,Pave,,AllPub,Gilbert,1Fam,2Story,2004,Gable,PConc,SBrkr,1720,2,3,1,1,2,Normal,183500
170,16669,Pave,,AllPub,Timber,1Fam,1Story,1981,Hip,CBlock,SBrkr,1707,2,2,1,1,2,Normal,228000
171,12358,Pave,,AllPub,OldTown,1Fam,1.5Fin,1941,Gable,CBlock,SBrkr,1382,1,2,1,0,2,Normal,128500
172,31770,Pave,,AllPub,NAmes,1Fam,1Story,1960,Hip,CBlock,SBrkr,1656,1,3,1,2,2,Normal,215000
173,5306,Pave,,AllPub,StoneBr,TwnhsE,2Story,1987,Gable,PConc,SBrkr,1767,2,2,1,1,2,Normal,239000
174,10197,Pave,,AllPub,NAmes,1Fam,1Story,1961,Gable,CBlock,SBrkr,1362,1,3,1,1,2,Normal,163000
175,12416,Pave,,AllPub,Timber,1Fam,1Story,1986,Gable,CBlock,SBrkr,1651,2,3,1,1,2,Normal,184000
176,12615,Pave,,AllPub,Edwards,1Fam,1Story,1950,Gable,CBlock,SBrkr,2158,2,4,1,1,2,Normal,243000
177,10029,Pave,,AllPub,ClearCr,1Fam,2Story,1988,Gable,PConc,SBrkr,2060,2,4,1,1,2,Normal,211000
178,13650,Pave,,AllPub,Sawyer,1Fam,1.5Fin,1958,Gable,CBlock,SBrkr,1920,2,4,1,1,2,Normal,172500
179,17423,Pave,,AllPub,StoneBr,1Fam,1Story,2008,Hip,PConc,SBrkr,2234,2,1,1,1,3,Partial,501837
180,8520,Pave,,AllPub,OldTown,1Fam,1Story,1923,Gable,CBlock,SBrkr,968,1,2,1,0,2,Normal,100000
181,2117,Pave,,AllPub,Somerst,Twnhs,2Story,2000,Gable,PConc,SBrkr,1525,2,3,1,1,2,Normal,177000
182,7588,Pave,,AllPub,Crawfor,1Fam,2Story,1920,Gable,BrkTil,SBrkr,1802,1,4,1,1,1,Normal,200100
183,9060,Pave,,AllPub,Edwards,1Fam,1Story,1957,Hip,PConc,SBrkr,1340,1,3,1,1,1,Normal,120000
184,11426,Pave,,AllPub,OldTown,1Fam,1.5Fin,2003,Gable,PConc,SBrkr,2082,2,3,1,0,2,Normal,200000
185,7438,Pave,,AllPub,BrkSide,1Fam,1.5Fin,1908,Gable,PConc,SBrkr,1252,1,3,1,0,2,Normal,127000
186,22950,Pave,,AllPub,OldTown,1Fam,2.5Fin,1892,Gable,BrkTil,SBrkr,3608,2,4,1,2,3,Normal,475000
187,9947,Pave,,AllPub,Mitchel,1Fam,SLvl,1990,Gable,PConc,SBrkr,1217,2,3,1,0,2,Normal,173000
188,10410,Pave,,AllPub,OldTown,1Fam,1.5Fin,1916,Gable,CBlock,SBrkr,1656,2,3,1,0,1,Normal,135000
189,7018,Pave,,AllPub,SawyerW,Duplex,SFoyer,1979,Gable,CBlock,SBrkr,1224,0,2,2,2,2,Alloca,153337
190,4923,Pave,,AllPub,StoneBr,TwnhsE,1Story,2001,Gable,PConc,SBrkr,1593,1,0,1,1,2,Normal,286000
191,10570,Pave,,AllPub,Crawfor,1Fam,2Story,1932,Hip,CBlock,SBrkr,2727,2,3,1,2,2,Normal,315000
192,7472,Pave,,AllPub,NAmes,1Fam,2Story,1972,Gable,CBlock,SBrkr,1479,1,4,1,0,2,Normal,184000
193,9017,Pave,,AllPub,CollgCr,1Fam,1Story,1999,Gable,PConc,SBrkr,1431,2,3,1,0,2,Normal,192000
194,2522,Pave,,AllPub,Edwards,Twnhs,2Story,2004,Gable,PConc,SBrkr,1709,2,3,1,0,2,Normal,130000
195,7180,Pave,,AllPub,CollgCr,1Fam,1Story,1972,Hip,CBlock,SBrkr,864,1,3,1,0,1,Normal,127000
196,2280,Pave,,AllPub,NPkVill,Twnhs,2Story,1976,Gable,CBlock,SBrkr,1456,2,3,1,1,2,Normal,148500
197,9416,Pave,,AllPub,Somerst,1Fam,1Story,2007,Hip,PConc,SBrkr,1726,2,3,1,1,3,Partial,311872
198,25419,Pave,,AllPub,NAmes,1Fam,2Story,1918,Gable,PConc,SBrkr,3112,2,4,1,1,2,Abnorml,235000
199,5520,Pave,,AllPub,OldTown,1Fam,2.5Fin,1912,Gable,CBlock,SBrkr,2229,1,5,1,0,0,Abnorml,104000
200,9591,Pave,,AllPub,NridgHt,1Fam,1Story,2004,Hip,PConc,SBrkr,1713,2,3,1,1,3,Normal,274900
201,8546,Pave,,AllPub,Edwards,1Fam,1Story,2003,Gable,PConc,SBrkr,1121,2,2,1,0,2,Normal,140000
202,10125,Pave,,AllPub,Mitchel,1Fam,1Story,1977,Gable,CBlock,SBrkr,1279,2,3,1,2,2,Normal,171500
